Transect,Observer,Date,Start time,Temperature,Beauford wind,Sky condition,Species ,0-25,25-50 ,50+ ,Fly by,Additional notes
ARBO-01,BF,06/02/2023,05:15,22,1,0,BCCH,2,,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,CSWA,2,,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,RBGR,,1,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,OVEN,,1,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,AMGO,,,,2,
ARBO-01,BF,06/02/2023,05:15,22,1,0,PIWO,,,1,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,INBU,1,,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,REVI,2,,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,CHSP,,1,,,
ARBO-01,BF,06/02/2023,05:15,22,1,0,EAPH,,1,,,
ARBO-02,BF,06/02/2023,05:42,23,1,0,NOCA,1,,1,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,RWBL,1,2,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,AMGO,1,1,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,GCFL,1,1,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,INBU,1,,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,REVI,3,1,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,COYE,1,,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,BCCH,,2,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,SOSP,1,,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,CEDW,,,,3,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,CSWA,2,,,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,AMCR,,,1,,Some background noise from machinery for movie filming 
ARBO-02,BF,06/02/2023,05:42,23,1,0,CHSP,,,1,,Some background noise from machinery for movie filming 
