Site,Management,Dist,StemDensity,AvgPpl,Div,SpR
ARBOL1,Managed,FAR,4.75,17.72,2.476221,14
ARBOL2,Managed,FAR,1.25,22.33,2.579844,11
ARBOS1,Managed,FAR,4,15,2.553237,14
ARBOS2,Managed,FAR,0,0,2.341994,13
BDLL1,Managed,FAR,22.5,25.95,2.204785,14
BDLL2,Managed,FAR,11.625,11.84,2.476221,12
BDLS1,Managed,FAR,6.125,12,2.47138,10
BDLS2,Managed,FAR,2.5,17.57,2.536221,10
STNYL1,Unmanaged,FAR,5.4,6,2.220025,14
STNYL2,Unmanaged,FAR,3.625,0,2.168223,18
STNYS1,Unmanaged,FAR,0.125,0,2.284167,16
STNYS2,Unmanaged,FAR,0.125,18.75,2.461498,14
TECHL1,Unmanaged,FAR,2.375,19.2,2.452577,10
TECHL2,Unmanaged,FAR,2.75,0,2.689178,15
TECHS1,Unmanaged,FAR,3.875,6,2.718473,13
TECHS2,Unmanaged,FAR,3.75,8.8,2.599302,14
ARBOL1,Managed,CLOSE,1.25,17.72,1.786808,9
ARBOL2,Managed,CLOSE,2.375,22.33,2.094729,12
ARBOS1,Managed,CLOSE,8.375,15,2.242973,10
ARBOS2,Managed,CLOSE,10.875,0,2.083766,7
BDLL1,Managed,CLOSE,9.25,25.95,2.18084,7
BDLL2,Managed,CLOSE,10.5,11.84,2.154783,6
BDLS1,Managed,CLOSE,9.375,12,1.178655,6
BDLS2,Managed,CLOSE,16.75,17.57,2.068885,8
STNYL1,Unmanaged,CLOSE,9.25,6,1.884871,7
STNYL2,Unmanaged,CLOSE,17.625,0,1.747868,14
STNYS1,Unmanaged,CLOSE,10.5,0,1.735126,11
STNYS2,Unmanaged,CLOSE,3.75,18.75,1.886697,8
TECHL1,Unmanaged,CLOSE,8,19.2,1.789748,10
TECHL2,Unmanaged,CLOSE,6,0,2.180946,9
TECHS1,Unmanaged,CLOSE,4.375,6,2.547531,11
TECHS2,Unmanaged,CLOSE,7.25,8.8,1.906155,5
