Site,Management,Dist,StemDensity,AvgPpl,SpRich,ShanDiv
ARBOL1,Managed,FAR,4.75,17.72,14,2.341994
ARBOL2,Managed,FAR,1.25,22.33,11,2.553237
ARBOS1,Managed,FAR,4,15,14,2.579844
ARBOS2,Managed,FAR,0,0,13,2.476221
BDLL1,Managed,FAR,22.5,25.95,14,2.536221
BDLL2,Managed,FAR,11.625,11.84,12,2.47138
BDLS1,Managed,FAR,6.125,12,10,2.476221
BDLS2,Managed,FAR,2.5,17.57,10,2.204785
STNYL1,Unmanaged,FAR,5.4,6,14,2.461498
STNYL2,Unmanaged,FAR,3.625,0,18,2.284167
STNYS1,Unmanaged,FAR,0.125,0,16,2.168223
STNYS2,Unmanaged,FAR,0.125,18.75,14,2.220025
TECHL1,Unmanaged,FAR,2.375,19.2,10,2.599302
TECHL2,Unmanaged,FAR,2.75,0,15,2.718473
TECHS1,Unmanaged,FAR,3.875,6,13,2.689178
TECHS2,Unmanaged,FAR,3.75,8.8,14,2.452577
ARBOL1,Managed,CLOSE,1.25,17.72,9,2.083766
ARBOL2,Managed,CLOSE,2.375,22.33,12,2.242973
ARBOS1,Managed,CLOSE,8.375,15,10,2.094729
ARBOS2,Managed,CLOSE,10.875,0,7,1.786808
BDLL1,Managed,CLOSE,9.25,25.95,7,2.068885
BDLL2,Managed,CLOSE,10.5,11.84,6,1.178655
BDLS1,Managed,CLOSE,9.375,12,6,2.154783
BDLS2,Managed,CLOSE,16.75,17.57,8,2.18084
STNYL1,Unmanaged,CLOSE,9.25,6,7,1.886697
STNYL2,Unmanaged,CLOSE,17.625,0,14,1.735126
STNYS1,Unmanaged,CLOSE,10.5,0,11,1.747868
STNYS2,Unmanaged,CLOSE,3.75,18.75,8,1.884871
TECHL1,Unmanaged,CLOSE,8,19.2,10,1.906155
TECHL2,Unmanaged,CLOSE,6,0,9,2.547531
TECHS1,Unmanaged,CLOSE,4.375,6,11,2.180946
TECHS2,Unmanaged,CLOSE,7.25,8.8,5,1.789748
