Trail,Site,Size,State,BirdR_below,BirdR_above,TotalBirdR,Near_quad,Mid_quad,Far_quad,TreesR,AvgPpl_H,BirdDiv_Below,BirdDiv_Above,TotalDiv
TECHS2,TECH,SMALL,Informal,5,14,16,7.25,7,3.75,6,8.8,1.789748,2.452577,2.70502
TECHS1,TECH,SMALL,Informal,11,13,15,4.375,5.25,3.875,8,6,2.180946,2.689178,2.363427
TECHL2,TECH,LARGE,Informal,9,15,18,6,2.25,2.75,7,0,2.547531,2.718473,2.694401
TECHL1,TECH,LARGE,Informal,10,10,14,8,5.375,2.375,11,19.2,1.906155,2.599302,2.450537
STNYS2,STNY,SMALL,Informal,8,14,19,3.75,6.25,0.125,15,18.75,1.884871,2.220025,2.521767
STNYS1,STNY,SMALL,Informal,11,16,20,10.5,1.375,0.125,9,0,1.747868,2.168223,2.441079
STNYL2,STNY,LARGE,Informal,14,18,21,17.625,2,3.625,7,0,1.735126,2.284167,2.331253
STNYL1,STNY,LARGE,Informal,7,14,16,9.25,2.375,5.4,10,6,1.886697,2.461498,2.432278
BDLS2,BDL,SMALL,Formal,8,10,13,16.75,8.625,2.5,9,17.57,2.18084,2.204785,2.694154
BDLS1,BDL,SMALL,Formal,6,10,13,9.375,11.5,6.125,10,12,2.154783,2.476221,2.906541
BDLL2,BDL,LARGE,Formal,6,12,15,10.5,10,11.625,15,11.84,1.178655,2.47138,2.827316
BDLL1,BDL,LARGE,Formal,7,14,16,9.25,11.75,22.5,8,25.95,2.068885,2.536221,2.711236
ARBOS2,ARBO,SMALL,Formal,7,13,15,10.875,0.5,0,5,0,1.786808,2.476221,2.514789
ARBOS1,ARBO,SMALL,Formal,10,14,18,8.375,1.875,4,7,15,2.094729,2.579844,2.571589
ARBOL2,ARBO,LARGE,Formal,12,11,12,2.375,5.625,1.25,3,22.33,2.242973,2.553237,2.483237
ARBOL1,ARBO,LARGE,Formal,9,14,17,1.25,0.625,4.75,7,17.72,2.083766,2.341994,2.359306
