TRAIL,SIZE,SPECIES,COUNT_0-25,COUNT_25PLUS,BIRD_RICHNESS,TREE_RICHNESS,TOTAL_PPL,AVGPPL_H
ARBOS1,SMALL,BCCH,2,2,18,7,3,15
ARBOS1,SMALL,CSWA,2,2,18,7,3,15
ARBOS1,SMALL,RBGR,0,1,18,7,3,15
ARBOS1,SMALL,OVEN,0,1,18,7,3,15
ARBOS1,SMALL,AMGO,2,0,18,7,3,15
ARBOS1,SMALL,PIWO,0,1,18,7,3,15
ARBOS1,SMALL,INBU,1,1,18,7,3,15
ARBOS1,SMALL,REVI,2,3,18,7,3,15
ARBOS1,SMALL,CHSP,1,1,18,7,3,15
ARBOS1,SMALL,EAPH,0,1,18,7,3,15
ARBOS1,SMALL,GCFL,0,1,18,7,3,15
ARBOS1,SMALL,SOSP,0,1,18,7,3,15
ARBOS1,SMALL,BLJA,0,1,18,7,3,15
ARBOS1,SMALL,YEWA,1,0,18,7,3,15
ARBOS1,SMALL,RBWO,0,1,18,7,3,15
ARBOS1,SMALL,NOCA,1,0,18,7,3,15
ARBOS1,SMALL,EAWP,1,1,18,7,3,15
ARBOS1,SMALL,BAOR,1,0,18,7,3,15
ARBOL1,LARGE,NOCA,1,0,17,7,20,17.72
ARBOL1,LARGE,AMGO,1,1,17,7,20,17.72
ARBOL1,LARGE,GCFL,1,1,17,7,20,17.72
ARBOL1,LARGE,INBU,1,0,17,7,20,17.72
ARBOL1,LARGE,REVI,3,2,17,7,20,17.72
ARBOL1,LARGE,COYE,1,0,17,7,20,17.72
ARBOL1,LARGE,BCCH,0,2,17,7,20,17.72
ARBOL1,LARGE,SOSP,1,2,17,7,20,17.72
ARBOL1,LARGE,CSWA,2,1,17,7,20,17.72
ARBOL1,LARGE,AMCR,0,1,17,7,20,17.72
ARBOL1,LARGE,CHSP,0,1,17,7,20,17.72
ARBOL1,LARGE,AMRE,0,1,17,7,20,17.72
ARBOL1,LARGE,EAWP,0,2,17,7,20,17.72
ARBOL1,LARGE,AMRO,1,1,17,7,20,17.72
ARBOL1,LARGE,BLJA,0,2,17,7,20,17.72
ARBOL1,LARGE,BAWW,0,2,17,7,20,17.72
ARBOL1,LARGE,PIWO,0,1,17,7,20,17.72
ARBOL2,LARGE,CSWA,3,1,12,3,23,22.33
ARBOL2,LARGE,SOSP,2,2,12,3,23,22.33
ARBOL2,LARGE,BAOR,0,1,12,3,23,22.33
ARBOL2,LARGE,GCFL,0,2,12,3,23,22.33
ARBOL2,LARGE,INBU,3,1,12,3,23,22.33
ARBOL2,LARGE,REVI,1,1,12,3,23,22.33
ARBOL2,LARGE,BCCH,2,2,12,3,23,22.33
ARBOL2,LARGE,RBGR,1,1,12,3,23,22.33
ARBOL2,LARGE,COYE,1,1,12,3,23,22.33
ARBOL2,LARGE,CHSP,1,1,12,3,23,22.33
ARBOL2,LARGE,WITU,1,0,12,3,23,22.33
ARBOL2,LARGE,HOWR,0,1,12,3,23,22.33
ARBOS2,SMALL,BLJA,2,2,15,5,0,0
ARBOS2,SMALL,CSWA,3,0,15,5,0,0
ARBOS2,SMALL,COYE,4,1,15,5,0,0
ARBOS2,SMALL,REVI,1,1,15,5,0,0
ARBOS2,SMALL,NOCA,0,2,15,5,0,0
ARBOS2,SMALL,SOSP,4,3,15,5,0,0
ARBOS2,SMALL,GCFL,0,1,15,5,0,0
ARBOS2,SMALL,INBU,0,1,15,5,0,0
ARBOS2,SMALL,PIWO,0,1,15,5,0,0
ARBOS2,SMALL,CHSP,1,0,15,5,0,0
ARBOS2,SMALL,AMRO,1,2,15,5,0,0
ARBOS2,SMALL,RBGR,0,1,15,5,0,0
ARBOS2,SMALL,BAOR,0,1,15,5,0,0
ARBOS2,SMALL,EAPH,0,1,15,5,0,0
ARBOS2,SMALL,WOTH,0,1,15,5,0,0
STNYL1,LARGE,COGR,1,1,16,10,1,6
STNYL1,LARGE,YEWA,2,1,16,10,1,6
STNYL1,LARGE,CHSP,0,1,16,10,1,6
STNYL1,LARGE,INBU,1,1,16,10,1,6
STNYL1,LARGE,AMGO,0,1,16,10,1,6
STNYL1,LARGE,CSWA,1,0,16,10,1,6
STNYL1,LARGE,REVI,1,1,16,10,1,6
STNYL1,LARGE,EAPH,0,1,16,10,1,6
STNYL1,LARGE,TRES,0,2,16,10,1,6
STNYL1,LARGE,GCFL,0,1,16,10,1,6
STNYL1,LARGE,SOSP,0,1,16,10,1,6
STNYL1,LARGE,WAVI,0,1,16,10,1,6
STNYL1,LARGE,NOCA,0,1,16,10,1,6
STNYL1,LARGE,GRCA,1,0,16,10,1,6
