Site,Dist,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BCCH,BHCO,BLJA,BTNW,CEDW,CHSP,COGR,CORA,COYE,CSWA,DOWO,EAKI,EAPH,EAWP,GCFL,GRCA,HOWOR,HOWR,INBU,KILL,LEFL,MAWA,NOCA,NOHA,NOPA,NOWA,OVEN,PIWO,RBGR,RBWO,REVI,SOSP,SWSP,TEWA,TRES,WAVI,WBNU,WIFL,WITU,WIWA,WOTH,YEWA,YSFL
ARBOL1,Far,1,1,1,1,0,2,2,0,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
ARBOL2,Far,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
ARBOS1,Far,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
ARBOS2,Far,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0
BDLL1,Far,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,5,0
BDLL2,Far,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,1,1,0,0,0,2,0
BDLS1,Far,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,3,0
BDLS2,Far,0,1,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
STNYL1,Far,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0
STNYL2,Far,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,1,2,0
