Site,Management,Dist,StemDensity,AvgPpl,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BCCH,BHCO,BLJA,BTNW,CEDW,CHSP,COGR,CORA,COYE,CSWA,DOWO,EAKI,EAPH,EAWP,GCFL,GRCA,HOWOR,HOWR,INBU,KILL,LEFL,MAWA,NOCA,NOHA,NOPA,NOWA,OVEN,PIWO,RBGR,RBWO,REVI,SOSP,SWSP,TEWA,TRES,WAVI,WBNU,WIFL,WITU,WIWA,WOTH,YEWA,YSFL
ARBOL1,Formal,FAR,4.75,17.72,1,1,1,1,0,2,2,0,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
ARBOL2,Formal,FAR,1.25,22.33,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
ARBOS1,Formal,FAR,4,15,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
ARBOS2,Formal,FAR,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0
ARBOL1,Formal,CLOSE,1.25,17.72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
ARBOL2,Formal,CLOSE,2.375,22.33,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0
ARBOS1,Formal,CLOSE,8.375,15,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
ARBOS2,Formal,CLOSE,10.875,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
BDLL1,Formal,FAR,22.5,25.95,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,5,0
BDLL2,Formal,FAR,11.625,11.84,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,1,1,0,0,0,2,0
BDLS1,Formal,FAR,6.125,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,3,0
BDLS2,Formal,FAR,2.5,17.57,0,1,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
BDLL1,Formal,CLOSE,9.25,25.95,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0
BDLL2,Formal,CLOSE,10.5,11.84,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
BDLS1,Formal,CLOSE,9.375,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
BDLS2,Formal,CLOSE,16.75,17.57,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
STNYL1,Informal,FAR,5.4,6,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0
STNYL2,Informal,FAR,3.625,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,1,2,0
STNYS1,Informal,FAR,0.125,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,2,1,0,0,0,0,1,0
STNYS2,Informal,FAR,0.125,18.75,0,1,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,3,0,0,0,0,0,0,0
STNYL1,Informal,CLOSE,9.25,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
STNYL2,Informal,CLOSE,17.625,0,0,0,2,2,0,0,1,0,0,0,3,1,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,1,0
STNYS1,Informal,CLOSE,10.5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,0,0,6,0
STNYS2,Informal,CLOSE,3.75,18.75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,7,0
TECHL1,Informal,FAR,2.375,19.2,0,0,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
TECHL2,Informal,FAR,2.75,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,5,0
TECHS1,Informal,FAR,3.875,6,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0
TECHS2,Informal,FAR,3.75,8.8,0,2,3,3,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,0
TECHL1,Informal,CLOSE,8,19.2,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0
TECHL2,Informal,CLOSE,6,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,4,0
TECHS1,Informal,CLOSE,4.375,6,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6,0
TECHS2,Informal,CLOSE,7.25,8.8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0
