Date,Field_Site,WeekendorWeekday,AMorPM,Effort,Temp,Trail_ID,ID_Code,EncounterNo,People,Children,Adults,Elderly,Car,Trail_Use,Noise_Level,Activity,DogsPresent,NumberofDogs
29/05/2023,Stoneycroft,Weekday,AM,7,17,STNYL1,MAY29_STNYL1_LOOP1ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,7,17,STNYL2,MAY29_STNYL2_LOOP1ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,7,17,STNYS1,MAY29_STNYS1_LOOP1ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,6,17,STNYS2,MAY29_STNYS2_LOOP1ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,6,17,STNYL1,MAY29_STNYL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,6,17,STNYL2,MAY29_STNYL2_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,6,17,STNYS1,MAY29_STNYS1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,8,17,STNYS2,MAY29_STNYS2_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,Stoneycroft,Weekday,AM,8,17,STNYS2,MAY29_STNYS2_LOOP2_ENCOUNTER1,1,2,0,1,1,0,On,Silent,Walking,N,NA
29/05/2023,Stoneycroft,Weekday,AM,8,17,STNYS2,MAY29_STNYS2_LOOP2_ENCOUNTER2,2,3,0,1,0,0,On,Low,Observations,N,NA
29/05/2023,MorganArboretum,Weekday,AM,3,19,ARBOS1,MAY29_ARBOS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,4,19,ARBOL1,MAY29_ARBOL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,4,19,ARBOL1,MAY29_ARBOL1_LOOP1_ENCOUNTER1,1,1,0,0,1,0,On,Low,Walking,Y,2
29/05/2023,MorganArboretum,Weekday,AM,4,19,ARBOL1,MAY29_ARBOL1_LOOP1_ENCOUNTER2,2,3,0,0,0,3,On,Car,Other,N,NA
29/05/2023,MorganArboretum,Weekday,AM,4,19,ARBOL1,MAY29_ARBOL1_LOOP1_ENCOUNTER3,3,1,0,1,0,0,On,Silent,Walking,Y,1
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOS2,MAY29_ARBOS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP1_ENCOUNTER1,1,5,0,1,0,0,On,Loud,Other,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP1_ENCOUNTER2,2,2,0,1,0,0,On,Low  ,Walking,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP1_ENCOUNTER3,3,1,0,0,0,1,On,Car,Other,N,NA
