ID,Scientific_Name,Common_Name,DBH_Class,Tally,distance
STNY_L2_G1_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,14,close
STNY_L2_G1_3,Rhamnus_cathartica,Common_buckthorn,1_3,2,close
STNY_L2_G1_3,Fraxinus_pennsylvanica,Green_ash,lessthan_1,1,close
STNY_L2_G1_3,Ulmus_americana,American_elm,lessthan_1,1,close
STNY_L2_G1_3,Crataegus_chrysocarpa,Fireberry_hawthorn,lessthan_1,4,close
STNY_L2_G1_3,Dead_vine,Dead_vine,1_3,4,close
STNY_L2_G1_3,Dead_vine,Dead_vine,3_5,4,close
STNY_L2_G1_3,Dead_vine,Dead_vine,3_5,4,close
STNY_L2_G1_3,Crataegus_chrysocarpa,Fireberry_hawthorn,3_5,1,close
STNY_L2_G1_2,NA,NA,NA,0,mid
STNY_L2_G1_1,NA,NA,NA,0,far
STNY_L2_G2_1,NA,NA,NA,0,far
STNY_L2_G2_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,18,close
STNY_L2_G2_3,Dead_vine,Dead_vine,1_3,1,close
STNY_L2_G2_3,Dead_vine,Dead_vine,lessthan_1,10,close
STNY_L2_G2_3,Dead_vine,Dead_vine,3_5,1,close
STNY_L2_G2_3,Dead_standing,Dead_standing,1_3,2,close
STNY_L2_G2_3,Rhamnus_cathartica,Common_buckthorn,3_5,4,close
STNY_L2_G2_2,Rhamnus_cathartica,Common_buckthorn,lessthan_1,6,mid
STNY_L2_G2_2,Ulmus_americana,American_elm,lessthan_1,1,mid
STNY_L2_G2_2,Rhamnus_cathartica,Common_buckthorn,1_3,2,mid
STNY_L2_G3_1,NA,NA,NA,0,far
STNY_L2_G3_2,NA,NA,NA,0,mid
STNY_L2_G3_3,Vitis_riparia,Riverbank_grapevine,lessthan_1,50,close
STNY_L2_G3_3,Rhamnus_cathartica,Common_buckthorn,1_3,2,close
STNY_L2_G4_3,Fraxinus_pennsylvanica,Green_ash,lessthan_1,7,close
STNY_L2_G4_3,Acer_saccharum,Sugar_maple,lessthan_1,2,close
STNY_L2_G4_3,Vitis_riparia,Riverbank_grapevine,1_3,2,close
STNY_L2_G4_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,4,close
STNY_L2_G4_3,Vitis_riparia,Riverbank_grapevine,3_5,1,close
STNY_L2_G4_3,Dead_standing,Dead_standing,lessthan_1,1,close
STNY_L2_G4_3,Rhamnus_cathartica,Common_buckthorn,1_3,1,close
STNY_L2_G4_2,Ostrya_virginiana,Ironwood,lessthan_1,1,mid
STNY_L2_G4_2,Sambucus_racemosa,Red_elder_berry,1_3,1,mid
STNY_L2_G4_2,Rhamnus_cathartica,Common_buckthorn,1_3,1,mid
STNY_L2_G4_2,Fraxinus_pennsylvanica,Green_ash,1_3,1,mid
STNY_L2_G4_2,Fraxinus_pennsylvanica,Green_ash,lessthan_1,2,mid
STNY_L2_G4_2,Dead_standing,Dead_standing,lessthan_1,1,mid
STNY_L2_G4_1,Rhamnus_cathartica,Common_buckthorn,1_3,2,far
