Site,Management,Dist,SpR
ARBOL1,Formal,FAR,14
ARBOL2,Formal,FAR,11
ARBOS1,Formal,FAR,14
ARBOS2,Formal,FAR,13
ARBOL1,Formal,CLOSE,9
ARBOL2,Formal,CLOSE,9
ARBOS1,Formal,CLOSE,10
ARBOS2,Formal,CLOSE,7
BDLL1,Formal,FAR,14
BDLL2,Formal,FAR,12
BDLS1,Formal,FAR,10
BDLS2,Formal,FAR,10
BDLL1,Formal,CLOSE,7
BDLL2,Formal,CLOSE,6
BDLS1,Formal,CLOSE,6
BDLS2,Formal,CLOSE,8
STNYL1,Informal,FAR,14
STNYL2,Informal,FAR,16
STNYS1,Informal,FAR,16
STNYS2,Informal,FAR,14
STNYL1,Informal,CLOSE,7
STNYL2,Informal,CLOSE,14
STNYS1,Informal,CLOSE,11
STNYS2,Informal,CLOSE,8
TECHL1,Informal,FAR,10
TECHL2,Informal,FAR,15
TECHS1,Informal,FAR,13
TECHS2,Informal,FAR,14
TECHL1,Informal,CLOSE,10
TECHL2,Informal,CLOSE,9
TECHS1,Informal,CLOSE,11
TECHS2,Informal,CLOSE,5
